price,currency,bedrooms,bathrooms,parkingSpots,propertySize,neighborhood,lat,lon
350000,USD,3,3,2,200,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
3663000,MN,4,3,2,168,"Verona, Tijuana",32.4688092,-116.8194467
230000,USD,2,3,2,750,"Baja Malibu, Tijuana",32.417678,-117.095221
3900000,MN,3,2,2,147,"Zona Centro, Tijuana",32.5320936,-117.0352732
245000,USD,3,2,2,122,"Soler, Tijuana",32.5320611,-117.0749951
250000,USD,6,5,4,400,"Los Alamos, Tijuana",32.510175,-116.9543348
395000,USD,4,4,7,880,"Altamira, Tijuana",32.5301418,-117.0521927
1950000,MN,3,1,2,120,"Santa Fe, Tijuana",32.4945858,-116.962982
1835000,MN,3,3,2,98,"Paseos de Guaycura, Tijuana",32.5000479,-116.9173529
1200000,MN,2,1,1,100,"El Florido, Tijuana",32.468236,-116.804315
2230000,MN,3,1,2,109,"Verona, Tijuana",32.4688092,-116.8194467
1800000,MN,3,1,2,157,"Las Cumbres, Tijuana",32.4867501,-117.0897051
1600000,USD,4,8,3,650,"Cumbres de Juarez, Tijuana",32.5087153,-117.0315948
95000,USD,3,1,,140,"Lomas Conjunto Residencial, Tijuana",32.4837712,-116.9580145
1100000,USD,2,2,1,57,"Santa Fe, Tijuana",32.4945858,-116.962982
230000,USD,6,5,2,250,"Jardin Dorado, Tijuana",32.5198415,-116.8895619
365000,USD,3,3,3,300,"San Antonio del Mar, Tijuana",32.4330555,-117.0994444
189200,USD,3,2,2,130,"Guadalupe Victoria, Tijuana",32.5170703,-116.9727326
3500000,USD,4,7,7,1125,"Cumbres de Juarez, Tijuana",32.5087153,-117.0315948
835000,USD,6,2,3,10000,"San Antonio, Tijuana",32.4802792,-117.0441009
2000000,USD,5,6,6,652,"Real del Mar, Tijuana",32.4517246,-117.0882341
1850000,MN,3,1,4,200,"El Refugio, Tijuana",32.4579711,-116.827715
3550000,MN,3,1,2,200,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
2850000,MN,3,1,,66,"Rio Tijuana, Tijuana",32.5287504,-117.0195443
189200,USD,3,2,2,114,"Brisas del Mar, Tijuana",32.4223625,-117.0933824
5850000,MN,3,2,2,197,"Tijuana, Baja California Norte",32.5149469,-117.0382471
330000,USD,,,,841,"Anexa Buena Vista, Tijuana",32.5241547,-116.9874497
264350,USD,2,1,,300,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
1283284,MN,2,1,1,250,"Cuesta Blanca, Tijuana",32.5137443,-117.0250153
2200000,MN,3,2,2,104,"Santa Fe, Tijuana",32.4945858,-116.962982
2200000,MN,3,1,2,148,"Tijuana, Baja California Norte",32.5149469,-117.0382471
7900000,MN,3,3,2,283,"Costa Coronado Residencial, Tijuana",32.5175269,-117.1066202
240000,USD,3,4,2,180,"San Agustin, Tijuana",32.5018554,-117.0748881
2200000,MN,4,2,2,207,"Camino Verde (Canada Verde), Tijuana",32.481305,-116.9744918
949000,USD,5,7,4,800,"Lomas de Agua Caliente, Tijuana",32.4994078,-116.9896572
488000,USD,3,3,2,307,"Tijuana, Baja California Norte",32.5149469,-117.0382471
634266,MN,2,1,1,150,"Praderas de la Gloria, Tijuana",32.447986,-117.0451467
1700000,MN,1,1,3,120,"El Jibarito, Tijuana",32.4778852,-117.0742596
555837,MN,2,1,1,200,"Residencial La Esperanza, Tijuana",32.4818401,-117.004741
3600000,MN,2,2,,97,"Buenos Aires Norte, Tijuana",32.5171334,-116.9013402
927492,MN,2,2,1,150,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
1350000,MN,2,1,2,104,"El Refugio, Tijuana",32.4579711,-116.827715
6000000,MN,2,,,3,"Villa Cruz, Tijuana",32.4738853,-116.9106183
430000,USD,4,,,4,"Baja Malibu, Tijuana",32.417678,-117.095221
3521500,MN,3,2,2,101,"Tijuana, Tijuana",32.5149469,-117.0382471
620000,MN,2,1,2,222,"Urbi Quinta del Cedro, Tijuana",32.437178,-117.0661687
3450000,MN,3,2,2,103,"Quinta Versalles, Tijuana",32.4336856,-117.0202114
800000,USD,3,4,2,502,"Real del Mar, Tijuana",32.4517246,-117.0882341
445000,USD,3,3,6,333,"Otay, Tijuana",32.5594732,-116.9734685
205000,USD,3,2,1,200,"Montes Olimpicos, Tijuana",32.5050565,-117.0658009
290000,USD,5,7,3,391,"Buenos Aires Sur, Tijuana",32.5070286,-116.8939788
307900,USD,3,3,3,217,"Verona, Tijuana",32.4688092,-116.8194467
260000,USD,1,4,3,340,"Tijuana, Baja California Norte",32.5149469,-117.0382471
157500,USD,3,3,2,104,"Las Americas, Tijuana",32.4979997,-116.8961873
90000,USD,5,3,2,108,"Tijuana, Baja California Norte",32.5149469,-117.0382471
217500,USD,3,2,2,136,"La Mesa, Tijuana",32.5036879,-116.9631923
150000,USD,3,2,1,207,"Los Pinos, Tijuana",32.5006481,-116.9735891
289000,USD,4,2,1,170,"Lomas de Agua Caliente, Tijuana",32.4994078,-116.9896572
10240000,MN,3,4,3,334,"Costa Coronado Residencial, Tijuana",32.5175269,-117.1066202
68000,USD,2,1,2,76,"Porticos de San Antonio, Tijuana",32.4394414,-117.0407906
310000,USD,3,4,6,200,"Hidalgo, Tijuana",32.5153051,-117.0455722
189000,USD,3,2,1,100,"Tijuana, Baja California Norte",32.5149469,-117.0382471
248000,USD,2,2,2,149,"Tijuana, Baja California Norte",32.5149469,-117.0382471
180000,USD,3,2,2,132,"Otay, Tijuana",32.5594732,-116.9734685
285000,USD,4,2,2,178,"Tijuana, Baja California Norte",32.5149469,-117.0382471
3570000,MN,3,2,2,101,"Brisas del Mar, Tijuana",32.4223625,-117.0933824
549000,USD,5,4,5,357,"Hipodromo Agua Caliente, Tijuana",32.5059103,-116.9955437
265000,USD,3,2,4,210,"Villa Colonial, Tijuana",32.4894555,-116.9900772
499000,USD,2,,,234,"Real del Mar, Tijuana",32.4517246,-117.0882341
2397000,MN,3,2,,95,"Monarca, Tijuana",32.4997095,-116.9201869
2996808,MN,3,2,,111,"Terrazas de La Presa, Tijuana",32.4501402,-116.9190065
