price,bedrooms,bathrooms,parkingSpots,propertySize,distance_SY (km),distance_OT (km),location_East,location_Mid-East,location_Mid-West,location_West
310000.0,3.0,4.0,6.0,200.0,3.0,11.0,1,0,0,0
180000.0,3.0,2.0,2.0,132.0,5.0,4.0,1,0,0,0
178500.0,3.0,2.0,2.0,101.0,15.0,20.0,0,0,1,0
549000.0,5.0,4.0,5.0,357.0,5.0,7.0,1,0,0,0
265000.0,3.0,2.0,4.0,210.0,7.0,8.0,1,0,0,0
119850.0,3.0,2.0,1.0,95.0,11.0,5.0,0,1,0,0
149840.4,3.0,2.0,1.0,111.0,14.0,11.0,0,1,0,0
225000.0,3.0,4.0,2.0,170.0,4.0,10.0,1,0,0,0
69000.0,5.0,2.0,1.0,348.0,3.0,7.0,1,0,0,0
170000.0,2.0,2.0,3.0,248.0,8.0,4.0,1,0,0,0
198750.0,3.0,3.0,2.0,83.0,9.0,11.0,1,0,0,0
550000.0,5.0,4.0,2.0,300.0,7.0,15.0,0,0,1,0
115000.0,3.0,2.0,2.0,185.0,4.0,12.0,0,0,1,0
180000.0,4.0,2.0,1.0,152.0,9.0,7.0,1,0,0,0
435000.0,4.0,3.0,2.0,343.0,4.0,9.0,1,0,0,0
103899.5,3.0,2.0,2.0,132.0,9.0,11.0,1,0,0,0
70865.85,3.0,1.0,1.0,200.0,14.0,20.0,0,0,1,0
270000.0,3.0,3.0,2.0,138.0,7.0,12.0,0,0,1,0
137600.0,3.0,3.0,3.0,300.0,6.0,8.0,1,0,0,0
149840.4,3.0,2.0,2.0,101.0,14.0,11.0,0,1,0,0
225000.0,2.0,2.0,1.0,135.0,7.0,15.0,0,0,1,0
53000.0,3.0,1.0,2.0,126.0,17.0,10.0,0,0,0,1
167500.0,3.0,3.0,2.0,133.0,15.0,20.0,0,0,1,0
107500.0,3.0,2.0,3.0,120.0,17.0,11.0,0,1,0,0
84000.0,2.0,1.0,1.0,120.0,9.0,8.0,1,0,0,0
275000.0,5.0,4.0,4.0,300.0,13.0,6.0,0,1,0,0
310000.0,3.0,4.0,1.0,200.0,3.0,11.0,1,0,0,0
105000.0,3.0,1.0,2.0,117.0,12.0,15.0,0,0,1,0
220000.0,2.0,2.0,2.0,221.0,14.0,20.0,0,0,1,0
122500.0,5.0,3.0,2.0,120.0,15.0,8.0,0,1,0,0
500000.0,4.0,3.0,5.0,1312.0,6.0,11.0,1,0,0,0
224150.0,3.0,4.0,2.0,144.0,9.0,11.0,1,0,0,0
320000.0,4.0,3.0,2.0,377.0,15.0,21.0,0,0,1,0
44000.0,2.0,1.0,2.0,160.0,6.0,13.0,0,0,1,0
87246.7,4.0,2.0,2.0,450.0,6.0,9.0,1,0,0,0
295000.0,4.0,2.0,1.0,300.0,13.0,5.0,0,1,0,0
225000.0,4.0,2.0,3.0,316.0,7.0,5.0,1,0,0,0
193600.0,3.0,3.0,2.0,215.0,9.0,11.0,1,0,0,0
131500.0,3.0,2.0,2.0,106.0,12.0,15.0,0,0,1,0
700000.0,4.0,5.0,5.0,538.0,6.0,9.0,1,0,0,0
297000.0,3.0,2.0,2.0,340.0,14.0,11.0,0,1,0,0
225000.0,3.0,3.0,1.0,232.0,8.0,12.0,1,0,0,0
150000.0,3.0,2.0,2.0,103.0,12.0,17.0,0,0,1,0
185000.0,3.0,3.0,3.0,270.0,7.0,15.0,0,0,1,0
102642.0,3.0,2.0,2.0,120.0,14.0,11.0,0,1,0,0
165000.0,3.0,2.0,1.0,122.0,21.0,14.0,0,0,0,1
140000.0,4.0,2.0,2.0,200.0,5.0,4.0,1,0,0,0
190000.0,3.0,2.0,2.0,97.0,12.0,5.0,0,1,0,0
189210.0,3.0,2.0,2.0,114.0,15.0,20.0,0,0,1,0
90000.0,2.0,2.0,2.0,51.0,13.0,6.0,0,1,0,0
149840.4,3.0,2.0,2.0,111.0,14.0,11.0,0,1,0,0
150000.0,4.0,2.0,1.0,250.0,10.0,7.0,0,1,0,0
217500.0,3.0,2.0,2.0,129.0,8.0,6.0,1,0,0,0
480000.0,4.0,4.0,6.0,450.0,7.0,15.0,0,0,1,0
234703.25,2.0,2.0,2.0,152.0,4.0,5.0,1,0,0,0
217500.0,3.0,2.0,2.0,150.0,7.0,5.0,1,0,0,0
224150.0,4.0,4.0,2.0,250.0,9.0,11.0,1,0,0,0
300000.0,4.0,3.0,2.0,174.0,12.0,6.0,0,1,0,0
580000.0,3.0,2.0,2.0,271.0,11.0,18.0,0,0,1,0
49950.0,2.0,2.0,2.0,256.0,13.0,5.0,0,1,0,0
550000.0,4.0,4.0,3.0,400.0,4.0,8.0,1,0,0,0
144750.0,3.0,2.0,2.0,144.0,14.0,9.0,0,1,0,0
29999.0,1.0,1.0,1.0,52.0,14.0,14.0,1,0,0,0
200000.0,3.0,2.0,2.0,140.0,4.0,12.0,0,0,1,0
230000.0,2.0,1.0,5.0,390.0,2.0,6.0,1,0,0,0
320000.0,4.0,4.0,1.0,225.0,11.0,18.0,0,0,1,0
210000.0,3.0,2.0,2.0,224.0,5.0,12.0,0,0,1,0
70000.0,1.0,1.0,1.0,280.0,7.0,15.0,0,0,1,0
400000.0,3.0,2.0,4.0,625.0,8.0,6.0,1,0,0,0
580000.0,4.0,4.0,4.0,450.0,3.0,8.0,1,0,0,0
340000.0,3.0,2.0,2.0,162.0,2.0,9.0,1,0,0,0
800000.0,2.0,2.0,2.0,275.0,2.0,9.0,1,0,0,0
207500.0,3.0,2.0,2.0,160.0,15.0,20.0,0,0,1,0
75000.0,3.0,2.0,1.0,80.0,14.0,11.0,0,1,0,0
360000.0,3.0,3.0,2.0,225.0,7.0,6.0,1,0,0,0
485000.0,3.0,2.0,3.0,415.0,11.0,18.0,0,0,1,0
162000.0,3.0,2.0,2.0,151.0,12.0,15.0,0,0,1,0
52342.55,2.0,1.0,1.0,250.0,6.0,6.0,1,0,0,0
155000.0,3.0,2.0,1.0,150.0,14.0,10.0,0,1,0,0
96445.0,3.0,2.0,2.0,120.0,7.0,9.0,1,0,0,0
365000.0,3.0,4.0,2.0,200.0,5.0,4.0,1,0,0,0
155000.0,3.0,2.0,2.0,152.0,3.0,9.0,1,0,0,0
360000.0,3.0,3.0,2.0,225.0,7.0,7.0,1,0,0,0
450000.0,5.0,3.0,1.0,5.0,15.0,21.0,0,0,1,0
34000.0,1.0,1.0,5.0,165.0,28.0,20.0,0,0,0,1
180000.0,3.0,2.0,2.0,250.0,4.0,9.0,1,0,0,0
241750.0,3.0,2.0,2.0,120.0,7.0,8.0,1,0,0,0
120000.0,2.0,2.0,2.0,311.0,12.0,5.0,0,1,0,0
580000.0,4.0,4.0,4.0,450.0,3.0,8.0,1,0,0,0
205000.0,3.0,2.0,5.0,569.0,3.0,10.0,1,0,0,0
710000.0,4.0,3.0,3.0,447.0,4.0,8.0,1,0,0,0
325000.0,3.0,2.0,1.0,625.0,7.0,5.0,1,0,0,0
110000.0,3.0,2.0,2.0,103.0,8.0,6.0,1,0,0,0
438000.0,3.0,3.0,2.0,276.0,6.0,9.0,1,0,0,0
87955.0,5.0,3.0,2.0,200.0,7.0,15.0,0,0,1,0
55000.0,3.0,1.0,2.0,100.0,8.0,6.0,1,0,0,0
79000.0,4.0,2.0,1.0,120.0,17.0,11.0,0,0,0,1
340000.0,4.0,3.0,2.0,225.0,7.0,15.0,0,0,1,0
720000.0,4.0,4.0,2.0,197.0,12.0,19.0,0,0,1,0
197500.0,4.0,3.0,2.0,158.0,8.0,6.0,1,0,0,0
196553.0,3.0,2.0,2.0,149.0,7.0,16.0,0,0,1,0
249900.0,3.0,3.0,1.0,180.0,11.0,18.0,0,0,1,0
435000.0,4.0,3.0,2.0,343.0,4.0,9.0,1,0,0,0
135000.0,3.0,2.0,2.0,120.0,5.0,7.0,1,0,0,0
230000.0,3.0,2.0,2.0,1.0,6.0,14.0,0,0,1,0
310000.0,4.0,4.0,6.0,192.0,3.0,11.0,1,0,0,0
340000.0,3.0,3.0,2.0,218.0,6.0,8.0,1,0,0,0
226700.0,5.0,5.0,2.0,448.0,5.0,12.0,0,0,1,0
340000.0,3.0,3.0,2.0,200.0,9.0,17.0,0,0,1,0
550000.0,3.0,2.0,4.0,1500.0,9.0,3.0,0,1,0,0
208309.0,3.0,2.0,2.0,142.0,7.0,16.0,0,0,1,0
65000.0,2.0,1.0,3.0,294.0,6.0,13.0,0,0,1,0
197000.0,3.0,2.0,2.0,135.0,8.0,6.0,1,0,0,0
377899.8,4.0,2.0,1.0,400.0,5.0,4.0,1,0,0,0
67000.0,2.0,1.0,2.0,76.0,11.0,15.0,0,0,1,0
96400.0,3.0,2.0,2.0,140.0,7.0,8.0,1,0,0,0
350000.0,3.0,3.0,2.0,200.0,5.0,4.0,1,0,0,0
420000.0,3.0,3.0,2.0,225.0,6.0,9.0,1,0,0,0
275000.0,5.0,4.0,4.0,288.0,13.0,6.0,0,1,0,0
110000.0,3.0,2.0,2.0,103.0,12.0,15.0,0,0,1,0
235000.0,3.0,2.0,2.0,126.0,7.0,5.0,1,0,0,0
465000.0,5.0,3.0,3.0,428.0,5.0,4.0,1,0,0,0
700000.0,4.0,4.0,3.0,600.0,6.0,7.0,1,0,0,0
155000.0,3.0,2.0,3.0,150.0,14.0,10.0,0,1,0,0
180000.0,3.0,2.0,2.0,151.0,13.0,5.0,0,1,0,0
46918.15,2.0,1.0,1.0,200.0,11.0,15.0,0,0,1,0
175000.0,3.0,2.0,4.0,225.0,6.0,11.0,1,0,0,0
102600.0,3.0,2.0,2.0,101.0,14.0,11.0,0,1,0,0
420000.0,3.0,3.0,2.0,140.0,12.0,19.0,0,0,1,0
119000.0,3.0,1.0,2.0,106.0,21.0,14.0,0,0,0,1
125000.0,3.0,1.0,2.0,130.0,13.0,8.0,0,1,0,0
220000.0,3.0,2.0,2.0,160.0,8.0,1.0,0,1,0,0
143250.0,3.0,2.0,2.0,120.0,11.0,5.0,0,1,0,0
180000.0,3.0,2.0,2.0,250.0,4.0,9.0,1,0,0,0
290000.0,4.0,3.0,3.0,336.0,14.0,20.0,0,0,1,0
130000.0,3.0,4.0,1.0,400.0,7.0,9.0,1,0,0,0
31713.3,2.0,1.0,1.0,150.0,11.0,15.0,0,0,1,0
500000.0,4.0,3.0,5.0,1312.0,6.0,11.0,1,0,0,0
177006.1,2.0,2.0,2.0,124.0,4.0,5.0,1,0,0,0
137600.0,3.0,3.0,3.0,300.0,6.0,8.0,1,0,0,0
225000.0,3.0,3.0,1.0,232.0,8.0,12.0,1,0,0,0
210000.0,3.0,2.0,2.0,224.0,5.0,12.0,0,0,1,0
180000.0,3.0,2.0,2.0,97.0,12.0,5.0,0,1,0,0
235000.0,3.0,2.0,2.0,126.0,7.0,5.0,1,0,0,0
550000.0,4.0,4.0,3.0,400.0,4.0,8.0,1,0,0,0
340000.0,3.0,3.0,2.0,160.0,7.0,8.0,1,0,0,0
155000.0,3.0,2.0,4.0,250.0,3.0,12.0,0,0,1,0
31000.0,2.0,1.0,2.0,222.0,12.0,17.0,0,0,1,0
155000.0,3.0,2.0,2.0,152.0,3.0,9.0,1,0,0,0
210000.0,4.0,3.0,6.0,425.0,13.0,5.0,0,1,0,0
650000.0,9.0,15.0,20.0,5200.0,14.0,20.0,0,0,1,0
270000.0,3.0,3.0,2.0,138.0,7.0,12.0,0,0,1,0
52342.55,2.0,1.0,1.0,250.0,6.0,6.0,1,0,0,0
295000.0,3.0,2.0,5.0,335.0,6.0,8.0,1,0,0,0
320000.0,4.0,4.0,1.0,225.0,11.0,18.0,0,0,1,0
115000.0,3.0,2.0,2.0,185.0,4.0,12.0,0,0,1,0
55258.15,2.0,1.0,1.0,250.0,3.0,9.0,1,0,0,0
360000.0,4.0,3.0,3.0,230.0,8.0,16.0,0,0,1,0
512000.0,3.0,4.0,3.0,334.0,8.0,16.0,0,0,1,0
46918.15,2.0,1.0,1.0,200.0,11.0,15.0,0,0,1,0
234703.25,2.0,2.0,2.0,152.0,4.0,5.0,1,0,0,0
485000.0,3.0,2.0,3.0,415.0,11.0,18.0,0,0,1,0
550000.0,4.0,4.0,1.0,233.0,7.0,9.0,1,0,0,0
340000.0,3.0,3.0,2.0,200.0,9.0,17.0,0,0,1,0
189210.0,3.0,2.0,2.0,114.0,15.0,20.0,0,0,1,0
700000.0,4.0,5.0,5.0,538.0,6.0,9.0,1,0,0,0
205000.0,1.0,1.0,2.0,51.0,6.0,7.0,1,0,0,0
200000.0,4.0,2.0,2.0,180.0,3.0,6.0,1,0,0,0
307900.0,3.0,3.0,3.0,217.0,21.0,14.0,0,0,0,1
197500.0,4.0,3.0,2.0,158.0,8.0,6.0,1,0,0,0
217500.0,3.0,2.0,2.0,129.0,8.0,6.0,1,0,0,0
160000.0,4.0,7.0,1.0,321.0,2.0,6.0,1,0,0,0
